1060104958	20220825	202208	2022	2022.6438	BUS	COMPANY						BUS													1	111	111	11	3	-2.0	10	1	10	1.39442231075697	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20220825080000	https://economictimes.indiatimes.com/markets/ipos/fpos/dreamfolks-service-ipo-subscribed-2-9x-on-day-2-of-bidding-process/articleshow/93771546.cms
1060104959	20220825	202208	2022	2022.6438	BUS	PRODUCER						BUS			COP	DEPUTIES						COP			1	1383	138	13	3	-7.0	5	1	5	-7.4468085106383	0								0								0								20220825080000	https://www.wyff4.com/article/upstate-man-arrested-for-bomb-threats-at-oconee-courthouse-deputies-say/40985213
1060104960	20220825	202208	2022	2022.6438	BUS	BUSINESS						BUS			EDU	STUDENT						EDU			0	043	043	04	1	2.8	10	1	10	4.33526011560694	0								0								0								20220825080000	https://www.niagara-gazette.com/opinion/laurrie-ready-for-the-new-school-year/article_d5fc4aee-23d2-11ed-b272-df414c09f5b3.html
1060104961	20220825	202208	2022	2022.6438	BUS	BUSINESS						BUS			EDUEDU	UNIVERSITY						EDU	EDU		0	046	046	04	1	7.0	4	1	4	-1.77777777777778	4	Maseno, Nyanza, Kenya	KE	KE07	18585	-0.004165	34.6095	-2255306	4	Maseno, Nyanza, Kenya	KE	KE07	18585	-0.004165	34.6095	-2255306	4	Maseno, Nyanza, Kenya	KE	KE07	18585	-0.004165	34.6095	-2255306	20220825080000	https://www.standardmedia.co.ke/turning-point/article/2001453998/from-the-streets-to-the-bar-how-activist-became-human-rights-lawyer
1060104962	20220825	202208	2022	2022.6438	BUS	INDUSTRY						BUS			ITA	ITALY	ITA								1	043	043	04	1	2.8	2	1	2	5.97609561752988	1	Spain	SP	SP		40	-4	SP	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	1	Spain	SP	SP		40	-4	SP	20220825080000	https://www.irancartoon.com/site/artists/mario-magnatti
1060104963	20220825	202208	2022	2022.6438	BUS	BUSINESS						BUS			KENEDU	KENYA	KEN					EDU			0	046	046	04	1	7.0	4	1	4	-1.77777777777778	4	Maseno, Nyanza, Kenya	KE	KE07	18585	-0.004165	34.6095	-2255306	4	Maseno, Nyanza, Kenya	KE	KE07	18585	-0.004165	34.6095	-2255306	4	Maseno, Nyanza, Kenya	KE	KE07	18585	-0.004165	34.6095	-2255306	20220825080000	https://www.standardmedia.co.ke/turning-point/article/2001453998/from-the-streets-to-the-bar-how-activist-became-human-rights-lawyer
1060104964	20220825	202208	2022	2022.6438	BUS	BUSINESS						BUS			KENELI	KENYA	KEN					ELI			0	046	046	04	1	7.0	8	1	8	-1.77777777777778	4	Maseno, Nyanza, Kenya	KE	KE07	18585	-0.004165	34.6095	-2255306	4	Maseno, Nyanza, Kenya	KE	KE07	18585	-0.004165	34.6095	-2255306	4	Maseno, Nyanza, Kenya	KE	KE07	18585	-0.004165	34.6095	-2255306	20220825080000	https://www.standardmedia.co.ke/turning-point/article/2001453998/from-the-streets-to-the-bar-how-activist-became-human-rights-lawyer
1060104965	20220825	202208	2022	2022.6438	BUS	COMPANIES						BUS			VNM	VIETNAMESE	VNM								1	012	012	01	1	-0.4	10	1	10	1.47058823529411	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20220825080000	https://vietnamnews.vn/economy/1310150/assessing-the-implementation-of-ukvfta-is-necessary-lefaso.html
1060104966	20220825	202208	2022	2022.6438	CAN	CANADA	CAN																		1	090	090	09	2	-2.0	4	1	4	0.30395136778115	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20220825080000	http://www.msn.com/en-us/movies/news/marvel-might-ve-just-confirmed-wolverine-in-mcu-canon/ar-AA114NLq
1060104967	20220825	202208	2022	2022.6438	CAN	CANADA	CAN								BEL	BELGIUM	BEL								0	043	043	04	1	2.8	2	1	2	2.32919254658385	4	Atlantic Ocean, ,	OC	OCOC		10	-25	-1506320	4	Buzet, Waals Gewest, Belgium	BE	BE14	5854	50.5379	4.36705	-1955710	4	Buzet, Waals Gewest, Belgium	BE	BE14	5854	50.5379	4.36705	-1955710	20220825080000	https://www.theepochtimes.com/17-year-old-pilot-sets-record-for-solo-flight-around-world_4685953.html
1060104968	20220825	202208	2022	2022.6438	CAN	CANADA	CAN								BEL	BELGIUM	BEL								0	043	043	04	1	2.8	2	1	2	2.32919254658385	2	Alaska, United States	US	USAK		61.385	-152.268	AK	4	Buzet, Waals Gewest, Belgium	BE	BE14	5854	50.5379	4.36705	-1955710	3	Bering Strait, Alaska, United States	US	USAK		65.7258	-168.42	1398890	20220825080000	https://www.theepochtimes.com/17-year-old-pilot-sets-record-for-solo-flight-around-world_4685953.html
1060104969	20220825	202208	2022	2022.6438	CHE	SWISS	CHE								SGP	SINGAPORE	SGP								1	042	042	04	1	1.9	10	1	10	8.17120622568093	1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20220825080000	https://www.finews.com/news/english-news/53013-ex-swiss-re-chair-receives-singapore-honorary-citizen-award
1060104970	20220825	202208	2022	2022.6438	CHN	CHINA	CHN								BGD	BANGLADESH	BGD								0	057	057	05	1	8.0	1	1	1	-2.35934664246824	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20220825080000	https://www.stamfordadvocate.com/news/article/Rohingya-mark-5th-anniversary-of-exodus-to-17396863.php
1060104971	20220825	202208	2022	2022.6438	CHN	CHINA	CHN								MMR	MYANMAR	MMR								0	057	057	05	1	8.0	1	1	1	-2.35934664246824	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20220825080000	https://www.stamfordadvocate.com/news/article/Rohingya-mark-5th-anniversary-of-exodus-to-17396863.php
1060104972	20220825	202208	2022	2022.6438	CHN	CHINA	CHN								TWN	TAIWANESE	TWN								1	043	043	04	1	2.8	4	1	4	-2.59740259740259	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	Taiwan	TW	TW		24	121	TW	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220825080000	https://www.bloomberg.com/news/articles/2022-08-25/taiwan-opposition-figure-s-china-trip-sparks-backlash-at-home
1060104973	20220825	202208	2022	2022.6438	CHN	CHINA	CHN								TWNOPP	TAIWANESE	TWN					OPP			1	043	043	04	1	2.8	4	1	4	-2.59740259740259	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	Taiwan	TW	TW		24	121	TW	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220825080000	https://www.bloomberg.com/news/articles/2022-08-25/taiwan-opposition-figure-s-china-trip-sparks-backlash-at-home
1060104974	20220825	202208	2022	2022.6438	CHN	CHINA	CHN								TWNOPP	TAIWAN	TWN					OPP			1	043	043	04	1	2.8	2	1	2	-2.59740259740259	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	Taiwan	TW	TW		24	121	TW	1	Taiwan	TW	TW		24	121	TW	20220825080000	https://www.bloomberg.com/news/articles/2022-08-25/taiwan-opposition-figure-s-china-trip-sparks-backlash-at-home
1060104975	20220825	202208	2022	2022.6438	CHR	CHRISTIAN				CHR															0	010	010	01	1	0.0	10	1	10	-1.56918687589159	0								0								0								20220825080000	https://www.northwichguardian.co.uk/news/20742918.benjamin-kershaw-rape-trial-businessman-denies-allegation/
1060104976	20220825	202208	2022	2022.6438	CHRCTH	CATHOLIC				CHR	CTH				GRC	GREECE	GRC								1	111	111	11	3	-2.0	2	1	2	0.4524886877828	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20220825080000	https://www.vcyamerica.org/one-year-bible/2022/08/25/august-25-miserable-comforters-4/
1060104977	20220825	202208	2022	2022.6438	CHRCTH	CATHOLIC				CHR	CTH				REL	BISHOP									1	111	111	11	3	-2.0	3	1	3	0.4524886877828	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20220825080000	https://www.vcyamerica.org/one-year-bible/2022/08/25/august-25-miserable-comforters-4/
1060104978	20220825	202208	2022	2022.6438	COP	POLICE						COP													1	010	010	01	1	0.0	6	1	6	-1.1764705882353	4	Pohangina, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.1667	175.8	-1516303	0								4	Pohangina, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.1667	175.8	-1516303	20220825080000	https://www.stuff.co.nz/manawatu-standard/news/300670195/palmerston-norths-firefighters-plan-for-second-march-on-the-square
1060104979	20220825	202208	2022	2022.6438	COP	DEPUTIES						COP													0	040	040	04	1	1.0	5	1	5	-7.2265625	4	Bern, Bern, Switzerland	SZ	SZ05	26290	46.9167	7.46667	-2551235	0								4	Bern, Bern, Switzerland	SZ	SZ05	26290	46.9167	7.46667	-2551235	20220825080000	https://www.thepostathens.com/article/2022/08/athens-county-sherrifs-office-police-blotter
1060104980	20220825	202208	2022	2022.6438	COP	DEPUTIES						COP													1	040	040	04	1	1.0	5	1	5	-7.2265625	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	0								4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20220825080000	https://www.thepostathens.com/article/2022/08/athens-county-sherrifs-office-police-blotter
1060104981	20220825	202208	2022	2022.6438	COP	POLICE						COP													1	043	043	04	1	2.8	2	1	2	-1.31578947368421	4	Riverstone, New South Wales, Australia	AS	AS02	5017	-33.6833	150.867	-1597681	0								4	Riverstone, New South Wales, Australia	AS	AS02	5017	-33.6833	150.867	-1597681	20220825080000	https://www.miragenews.com/police-appeal-to-locate-teen-missing-from-843097/
1060104982	20220825	202208	2022	2022.6438	COP	POLICE						COP													1	072	072	07	2	8.3	5	1	5	-7.82608695652174	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	0								4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20220825080000	https://mb.com.ph/2022/08/25/japan-national-police-chief-resigns-over-abe-assassination-2/
1060104983	20220825	202208	2022	2022.6438	COP	POLICE						COP													1	072	072	07	2	8.3	5	1	5	-7.87589498806682	1	Japan	JA	JA		36	138	JA	0								1	Japan	JA	JA		36	138	JA	20220825080000	https://www.ibtimes.com/japan-national-police-chief-resigns-over-abe-assassination-3605649
1060104984	20220825	202208	2022	2022.6438	COP	POLICE CHIEF						COP													1	0831	083	08	2	5.0	10	1	10	-7.82608695652174	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	0								4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20220825080000	https://mb.com.ph/2022/08/25/japan-national-police-chief-resigns-over-abe-assassination-2/
1060104985	20220825	202208	2022	2022.6438	COP	POLICE CHIEF						COP													1	0831	083	08	2	5.0	10	1	10	-7.87589498806682	1	Japan	JA	JA		36	138	JA	0								1	Japan	JA	JA		36	138	JA	20220825080000	https://www.ibtimes.com/japan-national-police-chief-resigns-over-abe-assassination-3605649
1060104986	20220825	202208	2022	2022.6438	COP	DEPUTIES						COP													1	1383	138	13	3	-7.0	5	1	5	-7.4468085106383	0								0								0								20220825080000	https://www.wyff4.com/article/upstate-man-arrested-for-bomb-threats-at-oconee-courthouse-deputies-say/40985213
1060104987	20220825	202208	2022	2022.6438	COP	POLICE OFFICER						COP													1	173	173	17	4	-5.0	1	1	1	-8.37438423645321	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20220825080000	https://www.miragenews.com/police-charge-man-after-melbourne-ramming-of-843107/
1060104988	20220825	202208	2022	2022.6438	COP	PRISON						COP													0	173	173	17	4	-5.0	10	1	10	-5.54528650646947	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	0								4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	20220825080000	https://www.rfa.org/english/news/vietnam/vietnamese-journalist-loses-appeal-08252022015721.html
1060104989	20220825	202208	2022	2022.6438	COP	POLICE OFFICER						COP													1	180	180	18	4	-9.0	1	1	1	-8.37438423645321	4	Heyfield, Victoria, Australia	AS	AS07	5424	-37.978	146.786	11430495	0								4	Heyfield, Victoria, Australia	AS	AS07	5424	-37.978	146.786	11430495	20220825080000	https://www.miragenews.com/police-charge-man-after-melbourne-ramming-of-843107/
1060104990	20220825	202208	2022	2022.6438	COP	DETECTIVE						COP													1	190	190	19	4	-10.0	10	1	10	-8.8541666666667	1	South Africa	SF	SF		-30	26	SF	0								1	South Africa	SF	SF		-30	26	SF	20220825080000	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=41770
1060104991	20220825	202208	2022	2022.6438	COP	POLICE						COP			AUS	SYDNEY	AUS								1	020	020	02	1	3.0	10	1	10	-1.31578947368421	4	Riverstone, New South Wales, Australia	AS	AS02	5017	-33.6833	150.867	-1597681	4	Riverstone, New South Wales, Australia	AS	AS02	5017	-33.6833	150.867	-1597681	4	Riverstone, New South Wales, Australia	AS	AS02	5017	-33.6833	150.867	-1597681	20220825080000	https://www.miragenews.com/police-appeal-to-locate-teen-missing-from-843097/
1060104992	20220825	202208	2022	2022.6438	COP	DEPUTY						COP			GOV	KING						GOV			1	043	043	04	1	2.8	10	1	10	-9.21052631578947	0								0								0								20220825080000	https://www.q13fox.com/news/king-county-deputy-injured-in-head-on-crash-driver-in-custody-for-dui
1060104993	20220825	202208	2022	2022.6438	COP	POLICE						COP			JUD	LAWYER						JUD			0	043	043	04	1	2.8	1	1	1	-7.2041166380789	4	Cha-Am, Phetchaburi, Thailand	TH	TH56	26873	12.8	99.9667	-3246724	4	Cha-Am, Phetchaburi, Thailand	TH	TH56	26873	12.8	99.9667	-3246724	4	Cha-Am, Phetchaburi, Thailand	TH	TH56	26873	12.8	99.9667	-3246724	20220825080000	https://www.bangkokpost.com/thailand/general/2376873/boyfriend-of-accused-policewoman-in-maid-beating-case-surrenders
1060104994	20220825	202208	2022	2022.6438	COP	DEPUTY						COP			MED	MEDIA						MED			0	014	014	01	1	0.0	10	1	10	0.58027079303675	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	20220825080000	https://www.graphic.com.gh/news/general-news/unesco-urges-youth-to-seek-information-on-migration.html
1060104995	20220825	202208	2022	2022.6438	COP	PRISON						COP			MED	JOURNALIST						MED			0	173	173	17	4	-5.0	5	1	5	-5.54528650646947	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	20220825080000	https://www.rfa.org/english/news/vietnam/vietnamese-journalist-loses-appeal-08252022015721.html
1060104996	20220825	202208	2022	2022.6438	COP	POLICE						COP			NZL	NEW ZEALAND	NZL								1	010	010	01	1	0.0	4	1	4	-1.1764705882353	4	Pohangina, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.1667	175.8	-1516303	4	Pohangina, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.1667	175.8	-1516303	4	Pohangina, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.1667	175.8	-1516303	20220825080000	https://www.stuff.co.nz/manawatu-standard/news/300670195/palmerston-norths-firefighters-plan-for-second-march-on-the-square
1060104997	20220825	202208	2022	2022.6438	COP	PRISON						COP			VNM	VIETNAM	VNM								0	173	173	17	4	-5.0	14	1	10	-5.54528650646947	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	20220825080000	https://www.rfa.org/english/news/vietnam/vietnamese-journalist-loses-appeal-08252022015721.html
1060104998	20220825	202208	2022	2022.6438	COP	DEPUTY						COP			YEM	ADEN	YEM								1	040	040	04	1	1.0	8	1	8	-2.17391304347826	1	Yemen	YM	YM		15.5	47.5	YM	1	Yemen	YM	YM		15.5	47.5	YM	1	Yemen	YM	YM		15.5	47.5	YM	20220825080000	https://www.arabnews.com/node/2149926/middle-east
1060104999	20220825	202208	2022	2022.6438	COP	DEPUTY						COP			YEMGOVEDU	YEMEN	YEM					GOV	EDU		1	040	040	04	1	1.0	2	1	2	-2.17391304347826	1	Yemen	YM	YM		15.5	47.5	YM	1	Yemen	YM	YM		15.5	47.5	YM	1	Yemen	YM	YM		15.5	47.5	YM	20220825080000	https://www.arabnews.com/node/2149926/middle-east
1060105000	20220825	202208	2022	2022.6438	COPJUD	DEPUTY						COP	JUD												1	020	020	02	1	3.0	6	1	6	-8.55263157894737	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	0								4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220825080000	https://www.thestar.com.my/news/nation/2022/08/25/babysitter-charged-with-neglect-over-infant039s-death
1060105001	20220825	202208	2022	2022.6438	COPJUD	DEPUTY						COP	JUD		MYS	MALAYSIA	MYS								1	020	020	02	1	3.0	2	1	2	-8.55263157894737	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220825080000	https://www.thestar.com.my/news/nation/2022/08/25/babysitter-charged-with-neglect-over-infant039s-death
1060105002	20220825	202208	2022	2022.6438	COPJUD	DEPUTY						COP	JUD		MYSJUD	MALAYSIA	MYS					JUD			1	020	020	02	1	3.0	2	1	2	-8.55263157894737	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220825080000	https://www.thestar.com.my/news/nation/2022/08/25/babysitter-charged-with-neglect-over-infant039s-death
1060105003	20220825	202208	2022	2022.6438	CRM	CRIMINAL						CRM													0	020	020	02	1	3.0	4	1	4	-3.74396135265701	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	0								4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20220825080000	https://www.stuff.co.nz/national/300670466/the-failures-of-the-latest-parliament-protest-demonstrate-ways-the-antimandate-movement-has-moved-on
1060105004	20220825	202208	2022	2022.6438	CRM	CRIMINAL						CRM													0	020	020	02	1	3.0	6	1	6	-3.74396135265701	1	Germany	GM	GM		51.5	10.5	GM	0								1	Germany	GM	GM		51.5	10.5	GM	20220825080000	https://www.stuff.co.nz/national/300670466/the-failures-of-the-latest-parliament-protest-demonstrate-ways-the-antimandate-movement-has-moved-on
1060105005	20220825	202208	2022	2022.6438	CRM	CONVICTS						CRM													1	040	040	04	1	1.0	10	1	10	-8.22368421052633	4	Godhra, Gujarat, India	IN	IN09	70121	20.9167	70.9167	-2096429	0								4	Godhra, Gujarat, India	IN	IN09	70121	20.9167	70.9167	-2096429	20220825080000	https://www.mid-day.com/news/india-news/article/bilkis-bano-case-sc-notice-to-centre-gujarat-on-plea-against-remission-to-11-convicts-23242664
1060105006	20220825	202208	2022	2022.6438	CRM	CRIMINAL						CRM													0	120	120	12	3	-4.0	4	1	4	-3.74396135265701	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	0								4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20220825080000	https://www.stuff.co.nz/national/300670466/the-failures-of-the-latest-parliament-protest-demonstrate-ways-the-antimandate-movement-has-moved-on
1060105007	20220825	202208	2022	2022.6438	CRM	CRIMINAL						CRM													0	120	120	12	3	-4.0	6	1	6	-3.74396135265701	1	Germany	GM	GM		51.5	10.5	GM	0								1	Germany	GM	GM		51.5	10.5	GM	20220825080000	https://www.stuff.co.nz/national/300670466/the-failures-of-the-latest-parliament-protest-demonstrate-ways-the-antimandate-movement-has-moved-on
1060105008	20220825	202208	2022	2022.6438	CVL	POPULATION						CVL													1	010	010	01	1	0.0	5	1	5	-3.80228136882129	1	Ghana	GH	GH		8	-2	GH	0								1	Ghana	GH	GH		8	-2	GH	20220825080000	http://www.channelafrica.co.za/sabc/home/channelafrica/news/details?id=9e30f33f-7bd8-4221-a064-29fa7cd65126&title=Ghana%20releases%202022%20first%20half%20HIV%20testing%20data
1060105009	20220825	202208	2022	2022.6438	CVL	TENANTS						CVL													1	020	020	02	1	3.0	10	1	10	-2.38095238095238	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20220825080000	https://www.sowetanlive.co.za/news/south-africa/2022-08-25-city-of-joburg-pauses-flat-evictions/
1060105010	20220825	202208	2022	2022.6438	CVL	SCIENTIST						CVL													0	036	036	03	1	4.0	2	1	2	-0.56338028169014	3	Lunah, Kentucky, United States	US	USKY	KY025	37.5626	-83.1768	508517	0								3	Lunah, Kentucky, United States	US	USKY	KY025	37.5626	-83.1768	508517	20220825080000	https://spaceflightnow.com/2022/08/23/cubesats-on-artemis-1-to-pursue-bold-missions-in-deep-space/
1060105011	20220825	202208	2022	2022.6438	CVL	SCIENTIST						CVL													0	036	036	03	1	4.0	2	1	2	-0.56338028169014	3	Lunah, Kentucky, United States	US	USKY	KY025	37.5626	-83.1768	508517	0								3	Morehead State University, Kentucky, United States	US	USKY		38.1867	-83.4332	514052	20220825080000	https://spaceflightnow.com/2022/08/23/cubesats-on-artemis-1-to-pursue-bold-missions-in-deep-space/
1060105012	20220825	202208	2022	2022.6438	CVL	SCIENTIST						CVL													0	036	036	03	1	4.0	6	1	6	-0.56338028169014	3	Morehead State University, Kentucky, United States	US	USKY	KY205	38.1867	-83.4332	514052	0								3	Morehead State University, Kentucky, United States	US	USKY		38.1867	-83.4332	514052	20220825080000	https://spaceflightnow.com/2022/08/23/cubesats-on-artemis-1-to-pursue-bold-missions-in-deep-space/
1060105013	20220825	202208	2022	2022.6438	CVL	COMMUNITY						CVL													1	043	043	04	1	2.8	8	1	8	-9.22509225092255	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	0								4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	20220825080000	https://www.ibtimes.com/rohingya-refugees-mark-fifth-genocide-remembrance-day-3605663
1060105014	20220825	202208	2022	2022.6438	CVL	VILLAGE						CVL													1	043	043	04	1	2.8	1	1	1	-5.24079320113315	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	0								4	Roma, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20220825080000	https://thebostonpilot.com/Opinion/article.asp?ID=193004
1060105015	20220825	202208	2022	2022.6438	CVL	SETTLEMENT						CVL													1	071	071	07	2	7.4	5	1	5	-2.13178294573644	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20220825080000	https://economictimes.indiatimes.com/wealth/save/neft-rtgs-charges-sbi-vs-hdfc-bank-vs-icici-bank-vs-pnb/articleshow/93771087.cms
1060105016	20220825	202208	2022	2022.6438	CVL	POPULATION						CVL			AFR	AFRICA	AFR								1	042	042	04	1	1.9	10	1	10	-1.80275715800636	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20220825080000	https://www.africa.com/un-labour-report-highlights-employment-challenges-for-youth/
1060105017	20220825	202208	2022	2022.6438	CVL	COMMUNITY						CVL			BGD	BANGLADESH	BGD								1	042	042	04	1	1.9	2	1	2	-9.22509225092255	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	20220825080000	https://www.ibtimes.com/rohingya-refugees-mark-fifth-genocide-remembrance-day-3605663
1060105018	20220825	202208	2022	2022.6438	CVL	COMMUNITY						CVL			BGD	BANGLADESHI	BGD								1	114	114	11	3	-2.0	2	1	2	-9.22509225092255	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	20220825080000	https://www.ibtimes.com/rohingya-refugees-mark-fifth-genocide-remembrance-day-3605663
1060105019	20220825	202208	2022	2022.6438	CVL	VOTER						CVL			BUS	INVESTOR						BUS			1	0311	031	03	1	5.2	10	1	10	0.288184438040346	0								0								0								20220825080000	https://vietnamnews.vn/society/1310093/ha-noi-giap-bat-train-stations-to-be-relocated-for-urban-railway-line.html
1060105020	20220825	202208	2022	2022.6438	CVL	COMMUNITY						CVL			GOV	MAYOR						GOV			1	010	010	01	1	0.0	5	1	5	0.20876826722339	0								0								0								20220825080000	https://www.miragenews.com/consultation-commences-for-proposed-50-increase-843088/
1060105021	20220825	202208	2022	2022.6438	CVL	VILLAGE						CVL			USA	NEW JERSEY	USA								1	042	042	04	1	1.9	4	1	4	-5.24079320113315	4	Roma, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Roma, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Roma, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20220825080000	https://thebostonpilot.com/Opinion/article.asp?ID=193004
1060105022	20220825	202208	2022	2022.6438	CVL	VILLAGE						CVL			USA	NEW JERSEY	USA								1	042	042	04	1	1.9	5	1	5	-5.24079320113315	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20220825080000	https://thebostonpilot.com/Opinion/article.asp?ID=193004
1060105023	20220825	202208	2022	2022.6438	CVL	COMMUNITY						CVL			USA	UNITED STATES	USA								0	043	043	04	1	2.8	4	1	4	2.56673511293635	3	Berkeley, California, United States	US	USCA	CA001	37.8716	-122.273	1658037	3	Berkeley, California, United States	US	USCA	CA001	37.8716	-122.273	1658037	3	Berkeley, California, United States	US	USCA	CA001	37.8716	-122.273	1658037	20220825080000	https://jewishjournal.com/community/350928/rabbis-of-la-rabbi-aaron-finkelstein-the-educator-with-a-pastoral-focus/
